,texto
1240,“Mr. Isaacs has advanced us ﬁfty pounds to pay oﬀ our debts and to get a proper outﬁt for James. You must
1241,"not forget that, Sibyl. Fifty pounds is a very large sum. Mr. Isaacs has been most considerate.”"
1242,"“He is not a gentleman, Mother, and I hate the way he talks to me,” said the girl, rising to her feet and going"
1243,over to the window.
1244,"“I don’t know how we could manage without him,” answered the elder woman querulously."
1245,"Sibyl Vane tossed her head and laughed. “We don’t want him any more, Mother. Prince Charming rules life"
1246,for us now.” Then she paused. A rose shook in her blood and shadowed her cheeks. Quick breath parted the
1247,petals of her lips. They trembled. Some southern wind of passion swept over her and stirred the dainty folds of
1248,"her dress. “I love him,” she said simply."
1249,"“Foolish child! foolish child!” was the parrot-phrase ﬂung in answer. The waving of crooked, false-jewelled"
1250,fingers gave grotesqueness to the words.
1251,The girl laughed again. The joy of a caged bird was in her voice. Her eyes caught the melody and echoed it in
1252,"radiance, then closed for a moment, as though to hide their secret. When they opened, the mist of a dream had"
1253,passed across them.
1254,"Thin-lipped wisdom spoke at her from the worn chair, hinted at prudence, quoted from that book of cowardice"
1255,whose author apes the name of common sense. She did not listen. She was free in her prison of passion. Her
1256,"prince, Prince Charming, was with her. She had called on memory to remake him. She had sent her soul to"
1257,"search for him, and it had brought him back. His kiss burned again upon her mouth. Her eyelids were warm with"
1258,his breath.
1259,"Then wisdom altered its method and spoke of espial and discovery. This young man might be rich. If so,"
1260,marriage should be thought of. Against the shell of her ear broke the waves of worldly cunning. The arrows of
1261,"craft shot by her. She saw the thin lips moving, and smiled."
1262,"Suddenly she felt the need to speak. The wordy silence troubled her. “Mother, Mother,” she cried, “why does"
1263,he love me so much? I know why I love him. I love him because he is like what love himself should be. But what
1264,"does he see in me? I am not worthy of him. And yet—why, I cannot tell—though I feel so much beneath him, I"
1265,"don’t feel humble. I feel proud, terribly proud. Mother, did you love my father as I love Prince Charming?”"
1266,"The elder woman grew pale beneath the coarse powder that daubed her cheeks, and her dry lips twitched"
1267,"with a spasm of pain. Sybil rushed to her, ﬂung her arms round her neck, and kissed her. “Forgive me, Mother. I"
1268,know it pains you to talk about our father. But it only pains you because you loved him so much. Don’t look so
1269,sad. I am as happy to-day as you were twenty years ago. Ah! let me be happy for ever!”
1270,"“My child, you are far too young to think of falling in love. Besides, what do you know of this young man? You"
1271,"don’t even know his name. The whole thing is most inconvenient, and really, when James is going away to"
1272,"Australia, and I have so much to think of, I must say that you should have shown more consideration. However,"
1273,"as I said before, if he is rich ...”"
1274,"“Ah! Mother, Mother, let me be happy!”"
1275,"Mrs. Vane glanced at her, and with one of those false theatrical gestures that so often become a mode of"
1276,"second nature to a stage-player, clasped her in her arms. At this moment, the door opened and a young lad"
1277,"with rough brown hair came into the room. He was thick-set of ﬁgure, and his hands and feet were large and"
1278,somewhat clumsy in movement. He was not so ﬁnely bred as his sister. One would hardly have guessed the
1279,close relationship that existed between them. Mrs. Vane ﬁxed her eyes on him and intensiﬁed her smile. She
1280,mentally elevated her son to the dignity of an audience. She felt sure that the tableau was interesting.
1281,"“You might keep some of your kisses for me, Sibyl, I think,” said the lad with a good-natured grumble."
1282,"“Ah! but you don’t like being kissed, Jim,” she cried. “You are a dreadful old bear.” And she ran across the"
1283,room and hugged him.
1284,"James Vane looked into his sister’s face with tenderness. “I want you to come out with me for a walk, Sibyl. I"
1285,don’t suppose I shall ever see this horrid London again. I am sure I don’t want to.”
1286,"“My son, don’t say such dreadful things,” murmured Mrs. Vane, taking up a tawdry theatrical dress, with a"
1287,"sigh, and beginning to patch it. She felt a little disappointed that he had not joined the group. It would have"
1288,increased the theatrical picturesqueness of the situation.
1289,"“Why not, Mother? I mean it.”"
1290,"“You pain me, my son. I trust you will return from Australia in a position of aﬄuence. I believe there is no"
1291,"society of any kind in the Colonies—nothing that I would call society—so when you have made your fortune, you"
1292,must come back and assert yourself in London.”
1293,“Society!” muttered the lad. “I don’t want to know anything about that. I should like to make some money to
1294,take you and Sibyl off the stage. I hate it.”
1295,"“Oh, Jim!” said Sibyl, laughing, “how unkind of you! But are you really going for a walk with me? That will be"
1296,"nice! I was afraid you were going to say good-bye to some of your friends—to Tom Hardy, who gave you that"
1297,"hideous pipe, or Ned Langton, who makes fun of you for smoking it. It is very sweet of you to let me have your"
1298,last afternoon. Where shall we go? Let us go to the park.”
1299,"“I am too shabby,” he answered, frowning. “Only swell people go to the park.”"
1300,"“Nonsense, Jim,” she whispered, stroking the sleeve of his coat."
1301,"He hesitated for a moment. “Very well,” he said at last, “but don’t be too long dressing.” She danced out of the"
1302,door. One could hear her singing as she ran upstairs. Her little feet pattered overhead.
1303,"He walked up and down the room two or three times. Then he turned to the still ﬁgure in the chair. “Mother,"
1304,are my things ready?” he asked.
1305,"“Quite ready, James,” she answered, keeping her eyes on her work. For some months past she had felt ill at"
